event,idx,time_sec,pc1,pc2,type,k_type,db_type,image,image_exists
165,275423,275.423,-0.3340251768379904,-0.331856132916114,2,2,1,Raster_Evt165_1ch.png,True
166,283829,283.829,0.9167754455096684,-0.6617862160118299,1,1,1,Raster_Evt166_1ch.png,True
167,284366,284.366,-0.11625365902241587,-0.0355581118005572,2,2,1,Raster_Evt167_1ch.png,True
168,292109,292.109,1.7448306188412654,0.0626200350339214,1,1,0,Raster_Evt168_1ch.png,True
169,298615,298.615,-0.3753102292503671,0.8600888730584223,2,2,0,Raster_Evt169_1ch.png,True
170,299472,299.472,-0.4412356397562349,0.2286055066255433,2,2,1,Raster_Evt170_1ch.png,True
171,300191,300.191,-0.35092912265323883,-0.47446842029017033,2,2,1,Raster_Evt171_1ch.png,True
172,300638,300.638,0.14635379269408502,-0.438033311374848,2,2,1,Raster_Evt172_1ch.png,True
173,300853,300.853,-0.4920917718112161,1.0589321115819907,2,2,0,Raster_Evt173_1ch.png,True
174,301435,301.435,0.41287012664359524,-0.845829039528876,1,1,1,Raster_Evt174_1ch.png,True
175,301970,301.97,-0.18569219306773282,-0.16005019932310782,2,2,1,Raster_Evt175_1ch.png,True
176,305548,305.548,-0.008624146559104703,-0.13460092048212252,2,2,1,Raster_Evt176_1ch.png,True
177,310858,310.858,0.2110668414905256,-0.3194868550654328,2,2,1,Raster_Evt177_1ch.png,True
178,311056,311.056,-0.03301294318793126,0.18223130481792404,2,2,1,Raster_Evt178_1ch.png,True
179,311467,311.467,-0.5161060521720555,0.27667906967169603,2,2,1,Raster_Evt179_1ch.png,True
180,314515,314.515,-0.0546488938963897,-0.4598393532263957,2,2,1,Raster_Evt180_1ch.png,True
181,316068,316.068,-0.40472833312171014,-0.010881355651602363,2,2,1,Raster_Evt181_1ch.png,True
182,316787,316.787,-0.1368468433764582,-0.11627695317132486,2,2,1,Raster_Evt182_1ch.png,True
183,317541,317.541,-0.48333760831439215,-0.14856428123362542,2,2,1,Raster_Evt183_1ch.png,True
184,321280,321.28,-0.2549139409247315,-0.10441033381697273,2,2,1,Raster_Evt184_1ch.png,True
185,326002,326.002,-0.23692057549748885,-0.019994519843437586,2,2,1,Raster_Evt185_1ch.png,True
186,326650,326.65,0.5153010988300386,-0.8652305380476273,1,1,1,Raster_Evt186_1ch.png,True
187,326886,326.886,-0.33826705893399633,-0.20717462534411277,2,2,1,Raster_Evt187_1ch.png,True
188,330061,330.061,-0.40491290138048014,-0.30766633729862397,2,2,1,Raster_Evt188_1ch.png,True
189,336893,336.893,-0.20541987524576774,-0.3600020241381804,2,2,1,Raster_Evt189_1ch.png,True
190,340222,340.222,-0.23817134126702016,0.13880489923323444,2,2,1,Raster_Evt190_1ch.png,True
191,343043,343.043,-0.27084666776084254,-0.4297984756241503,2,2,1,Raster_Evt191_1ch.png,True
192,344328,344.328,0.7764108834421745,-0.24943797772058143,1,1,1,Raster_Evt192_1ch.png,True
193,348491,348.491,-0.0142305862513543,-0.5150334331097516,2,2,1,Raster_Evt193_1ch.png,True
194,351866,351.866,-0.4207909291149993,0.4785617373996235,2,2,1,Raster_Evt194_1ch.png,True
195,353182,353.182,0.6307310936073208,-0.6953466096206852,1,1,1,Raster_Evt195_1ch.png,True
196,358025,358.025,-0.5384449663713592,0.709060768001949,2,2,1,Raster_Evt196_1ch.png,True
197,362040,362.04,-0.4019175576654579,-0.05605412121480622,2,2,1,Raster_Evt197_1ch.png,True
198,362950,362.95,-0.22982263117453644,0.10877216549267442,2,2,1,Raster_Evt198_1ch.png,True
199,365085,365.085,-0.5567697536758488,0.004023923388572687,2,2,1,Raster_Evt199_1ch.png,True
200,365833,365.833,0.5906477470666613,-0.8510742146812329,1,1,1,Raster_Evt200_1ch.png,True
201,397037,397.037,0.30107710716717384,-0.6813053303375272,2,2,1,Raster_Evt201_1ch.png,True
202,408398,408.398,-0.09787914878298012,0.229322587590993,2,2,1,Raster_Evt202_1ch.png,True
203,408875,408.875,0.024711643115555047,-0.060570508503091584,2,2,1,Raster_Evt203_1ch.png,True
204,416234,416.234,-0.05589469406340461,-0.24113402216287447,2,2,1,Raster_Evt204_1ch.png,True
205,422461,422.461,-0.10516239370027634,-0.2294424501514903,2,2,1,Raster_Evt205_1ch.png,True
206,427465,427.465,-0.6009180822253967,0.34651475797391396,2,2,1,Raster_Evt206_1ch.png,True
207,428969,428.969,-0.3868599213307531,0.4408760350025188,2,2,1,Raster_Evt207_1ch.png,True
208,429109,429.109,-0.2587989140117609,0.2841597109814004,2,2,1,Raster_Evt208_1ch.png,True
209,432804,432.804,1.4106255028886805,0.753104207571505,1,1,0,Raster_Evt209_1ch.png,True
